"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Banishing Light","W","C","61931","3.15","17685","3.85","94704","90.1%","55.6%","15874","54.4%","21425","57.4%","37299","56.1%","57099","55.3%","0.8pp"
"Beza, the Bounding Spring","W","M","2122","1.43","1421","1.39","7586","87.7%","57.4%","1308","62.2%","1722","63.3%","3030","62.8%","4564","53.9%","9.0pp"
"Brave-Kin Duo","W","C","109272","5.89","15788","8.30","54241","58.4%","54.4%","9624","54.7%","10932","50.7%","20556","52.5%","33592","55.6%","-3.1pp"
"Brightblade Stoat","W","U","22659","2.89","7288","3.37","39198","89.8%","56.3%","7304","60.7%","8561","56.4%","15865","58.4%","23233","54.8%","3.5pp"
"Builder's Talent","W","U","41409","5.63","4813","8.42","9029","32.0%","55.1%","1563","56.4%","2160","56.3%","3723","56.4%","5279","54.2%","2.1pp"
"Caretaker's Talent","W","R","8346","2.80","2812","2.86","10705","65.0%","56.5%","1857","57.2%","2596","60.6%","4453","59.2%","6245","54.6%","4.6pp"
"Carrot Cake","W","C","96748","5.06","20913","6.38","95879","76.1%","57.6%","17307","59.0%","21218","60.0%","38525","59.5%","57208","56.3%","3.2pp"
"Crumb and Get It","W","C","103123","5.35","17483","7.36","77418","74.6%","55.8%","12070","56.5%","16945","56.7%","29015","56.6%","48292","55.3%","1.3pp"
"Dawn's Truce","W","R","13553","4.03","1590","6.08","3051","33.8%","49.1%","426","","667","45.7%","1093","46.1%","1953","50.7%","-4.6pp"
"Dewdrop Cure","W","U","41750","5.56","5107","8.28","10222","34.3%","53.2%","1523","50.0%","2207","50.8%","3730","50.5%","6488","54.7%","-4.3pp"
"Driftgloom Coyote","W","U","22613","2.95","7350","3.45","37596","86.3%","55.9%","5887","55.5%","8725","58.5%","14612","57.3%","22817","54.8%","2.5pp"
"Essence Channeler","W","R","6581","2.17","2590","2.19","11780","77.5%","54.9%","2225","57.5%","2615","57.1%","4840","57.3%","6743","52.8%","4.5pp"
"Feather of Flight","W","U","36435","4.59","6409","6.17","27457","72.3%","56.0%","4492","56.1%","6108","58.0%","10600","57.2%","16822","55.3%","1.9pp"
"Flowerfoot Swordmaster","W","U","32730","4.24","6512","5.37","28281","74.1%","55.0%","5113","55.7%","5976","54.6%","11089","55.1%","17139","55.0%","0.1pp"
"Harvestrite Host","W","U","27797","3.65","8191","4.15","41219","82.9%","58.3%","7267","61.6%","9356","58.7%","16623","60.0%","24510","57.1%","2.9pp"
"Hop to It","W","U","28887","3.72","7783","4.36","38643","81.7%","57.5%","6862","58.6%","8625","60.0%","15487","59.4%","23117","56.3%","3.1pp"
"Intrepid Rabbit","W","C","80866","4.11","21939","4.95","116199","87.9%","57.3%","19945","58.0%","25938","59.6%","45883","58.9%","69671","56.1%","2.9pp"
