"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Adaptive Automaton","","R","8687","2.16","3056","2.43","16000","85.2%","56.0%","2848","56.0%","4008","56.2%","6856","56.1%","9074","55.9%","0.2pp"
"Aeronaut Cavalry","W","C","255484","5.14","48849","6.81","229637","74.5%","58.0%","36187","57.7%","57564","58.8%","93751","58.4%","135896","57.7%","0.6pp"
"Aeronaut's Wings","","C","322543","7.28","45129","10.22","113488","40.5%","56.1%","18727","54.9%","29315","57.3%","48042","56.4%","65420","55.9%","0.4pp"
"Aetherflux Reservoir","","M","10515","4.70","1262","7.31","534","7.2%","43.6%","95","","166","","261","","266","",""
"Air Marshal","U","C","309147","7.08","42468","9.86","114617","43.9%","56.3%","20197","55.2%","28204","55.2%","48401","55.2%","65825","57.2%","-2.0pp"
"Airlift Chaplain","W","C","251387","4.97","57693","6.28","285430","77.7%","58.6%","50141","59.1%","71042","58.8%","121183","58.9%","162864","58.4%","0.5pp"
"Alloy Animist","G","U","99827","5.71","15131","7.91","37744","40.4%","54.2%","6522","54.6%","9816","54.8%","16338","54.7%","21356","53.8%","0.9pp"
"Altar of Dementia","","M","6950","3.09","1954","3.62","6861","57.9%","53.7%","1190","53.1%","1849","57.8%","3039","55.9%","3808","51.9%","4.1pp"
"Ambush Paratrooper","W","C","235785","4.61","50543","5.94","273510","85.4%","58.2%","48744","58.6%","66897","58.5%","115641","58.6%","156584","57.9%","0.6pp"
"Arbalest Engineers","RG","U","88607","5.07","18683","6.43","69309","59.4%","57.0%","12011","58.6%","17645","57.2%","29656","57.7%","39603","56.4%","1.3pp"
"Arcane Proxy","U","M","5149","1.77","2397","1.76","8844","62.0%","53.1%","1477","50.0%","2524","56.1%","4001","53.9%","4788","52.4%","1.5pp"
"Argivian Avenger","","U","84723","4.31","10159","6.34","36304","59.2%","53.1%","5625","51.3%","9969","55.2%","15594","53.8%","20687","52.5%","1.2pp"
"Argoth, Sanctum of Nature","G","R","18159","2.99","4889","3.44","21281","71.9%","55.5%","3871","58.8%","5350","54.3%","9221","56.2%","11920","54.7%","1.5pp"
"Argothian Opportunist","G","C","197093","3.74","55077","4.62","304563","88.7%","56.5%","54085","58.9%","78887","56.9%","132972","57.7%","171174","55.5%","2.2pp"
"Argothian Sprite","G","C","260912","5.12","50869","6.89","260120","82.2%","56.1%","46204","56.9%","66371","56.0%","112575","56.4%","147327","55.8%","0.5pp"
"Arms Race","R","U","126397","9.17","14938","12.97","681","0.7%","37.0%","113","","167","","280","","401","",""
"Ashnod's Altar","","R","21362","5.47","2544","8.30","1492","9.6%","45.2%","212","","384","","596","43.8%","894","46.1%","-2.3pp"
"Ashnod's Harvester","B","U","67621","3.36","23841","4.01","135704","90.6%","57.3%","24640","60.1%","35712","57.7%","60352","58.7%","75133","56.2%","2.4pp"
"Ashnod's Intervention","B","C","335469","8.83","35103","12.75","15214","7.1%","51.5%","2487","49.1%","4095","52.9%","6582","51.5%","8622","51.6%","-0.1pp"
