"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Academy Loremaster","U","R","46365","5.22","6550","7.59","8639","24.9%","52.7%","1436","54.0%","2527","51.8%","3963","52.6%","4618","52.8%","-0.2pp"
"Academy Wall","U","C","426639","6.98","67393","9.72","176873","49.3%","54.8%","30959","54.3%","51780","55.3%","82739","54.9%","89563","54.7%","0.2pp"
"Adarkar Wastes","","R","38228","3.95","6240","5.54","22583","68.7%","55.4%","4129","56.1%","6056","54.8%","10185","55.3%","12182","55.4%","-0.1pp"
"Aether Channeler","U","R","15199","1.79","9597","1.79","48465","92.9%","57.3%","8648","58.9%","14114","60.4%","22762","59.8%","24873","55.0%","4.8pp"
"Aggressive Sabotage","B","C","447955","7.91","48259","11.70","37347","14.7%","53.4%","6356","53.0%","9985","55.7%","16341","54.6%","20690","52.3%","2.3pp"
"Ajani, Sleeper Agent","WG","M","5434","1.34","3618","1.30","15056","81.3%","54.5%","2606","54.5%","3783","56.9%","6389","56.0%","8493","53.2%","2.8pp"
"Anointed Peacekeeper","W","R","14849","1.77","8078","1.78","38887","89.1%","58.4%","7001","63.4%","9877","58.7%","16878","60.6%","21781","56.7%","3.9pp"
"Archangel of Wrath","W","R","10422","1.25","8747","1.24","45594","92.6%","61.1%","7859","65.4%","12317","68.7%","20176","67.4%","24747","55.7%","11.7pp"
"Argivian Cavalier","W","C","289648","3.98","69189","5.02","330397","88.3%","58.5%","59363","60.4%","81124","58.4%","140487","59.3%","189014","58.0%","1.3pp"
"Argivian Phalanx","W","C","362617","5.17","54278","7.25","214278","74.6%","57.5%","35393","56.3%","52745","56.5%","88138","56.4%","125542","58.3%","-1.9pp"
"Aron, Benalia's Ruin","WB","U","97398","3.95","18797","4.95","71970","73.1%","56.1%","12176","55.3%","18634","55.4%","30810","55.4%","40890","56.7%","-1.3pp"
"Artillery Blast","W","C","399724","5.87","49424","8.78","139452","53.3%","55.6%","23964","53.9%","37621","56.6%","61585","55.5%","76760","55.7%","-0.1pp"
"Astor, Bearer of Blades","WR","R","41127","4.80","5455","6.89","6964","24.2%","56.7%","1144","56.5%","1676","56.1%","2820","56.2%","4128","57.1%","-0.8pp"
"Automatic Librarian","","C","454988","7.52","58115","10.86","110308","35.4%","56.1%","20052","55.5%","28255","56.4%","48307","56.0%","61395","56.2%","-0.2pp"
"Baird, Argivian Recruiter","WR","U","100083","4.06","19815","5.02","74276","71.6%","57.5%","13131","59.8%","16849","56.0%","29980","57.7%","44223","57.3%","0.4pp"
"Balduvian Atrocity","B","U","129300","5.23","17502","7.44","47069","52.2%","53.2%","8160","51.0%","11989","53.5%","20149","52.5%","26650","53.8%","-1.3pp"
"Balduvian Berserker","R","U","108823","4.21","18884","5.50","76838","77.8%","55.7%","13338","53.6%","18551","54.1%","31889","53.9%","44714","57.0%","-3.1pp"
"Balmor, Battlemage Captain","UR","U","96593","4.06","27938","4.53","114313","76.0%","57.2%","19792","60.5%","32714","59.3%","52506","59.7%","60274","54.8%","4.9pp"
"Barkweave Crusher","G","C","459096","8.32","46070","12.22","31759","13.2%","52.8%","5261","50.4%","7933","52.2%","13194","51.5%","18358","53.7%","-2.2pp"
"Battle-Rage Blessing","B","C","439406","7.33","45743","11.05","68755","28.7%","54.0%","11381","51.5%","18121","55.3%","29502","53.8%","38830","54.0%","-0.1pp"
"Battlefly Swarm","B","C","410473","6.31","45753","9.57","128374","53.0%","55.4%","22801","56.6%","34373","55.9%","57174","56.2%","70290","54.7%","1.4pp"
"Battlewing Mystic","U","U","100985","3.93","28458","4.75","132165","85.6%","56.9%","23497","57.4%","37700","57.8%","61197","57.6%","69619","56.3%","1.4pp"
"Benalish Faithbonder","W","C","428260","6.93","48708","10.15","112606","43.6%","56.5%","20423","55.8%","25919","52.9%","46342","54.2%","66103","58.2%","-4.0pp"
"Benalish Sleeper","W","C","381069","5.66","54075","8.00","201420","69.3%","57.7%","36094","58.1%","49706","56.7%","85800","57.3%","115016","58.0%","-0.7pp"
"Bite Down","G","C","311801","4.30","54321","5.87","243291","85.1%","56.3%","40844","55.1%","61816","58.5%","102660","57.2%","137594","55.5%","1.6pp"
"Blight Pile","B","U","112781","4.51","24823","5.70","96002","72.6%","56.0%","17172","55.8%","26113","58.4%","43285","57.4%","45638","53.7%","3.6pp"
"Bog Badger","G","C","437891","7.18","52262","10.48","121346","43.9%","55.7%","21183","54.9%","29652","55.9%","50835","55.5%","69589","55.7%","-0.3pp"
"Bone Splinters","B","C","388414","5.73","55087","8.22","186249","64.6%","55.0%","30956","51.7%","49608","55.7%","80564","54.2%","101614","55.5%","-1.4pp"
"Bortuk Bonerattle","BG","U","78154","3.05","27795","3.51","131539","88.7%","56.2%","21435","54.3%","36411","60.1%","57846","58.0%","71107","54.5%","3.4pp"
"Braids's Frightful Return","B","U","121938","4.84","18524","6.78","64449","65.6%","55.8%","11096","53.5%","17631","57.8%","28727","56.1%","35170","55.4%","0.7pp"
"Braids, Arisen Nightmare","B","R","15487","1.87","7095","1.87","31549","84.8%","55.3%","5549","56.6%","8771","56.5%","14320","56.5%","16941","54.2%","2.3pp"
"Broken Wings","G","C","461318","8.63","43876","12.72","15840","6.8%","51.6%","2680","48.2%","3881","52.7%","6561","50.9%","9131","52.1%","-1.2pp"
"Captain's Call","W","C","345158","4.95","59796","6.69","246453","77.7%","57.1%","42184","56.0%","61093","57.1%","103277","56.6%","142464","57.5%","-0.8pp"
"Caves of Koilos","","R","36406","3.71","5672","5.21","21780","72.3%","56.4%","3972","57.6%","5527","54.9%","9499","56.0%","12120","56.8%","-0.8pp"
"Chaotic Transformation","R","R","55639","6.32","6799","9.61","563","1.6%","43.5%","77","","135","","212","","349","",""
"Charismatic Vanguard","W","C","419246","6.54","49489","9.58","138019","52.7%","56.8%","24017","54.8%","32894","55.3%","56911","55.1%","80836","58.0%","-3.0pp"
"Choking Miasma","B","U","120789","4.92","19168","6.65","60818","60.2%","54.7%","10390","53.4%","17009","57.4%","27399","55.9%","32589","53.6%","2.3pp"
"Citizen's Arrest","W","C","239913","3.32","53736","4.20","250088","87.1%","57.5%","42049","56.3%","64146","58.5%","106195","57.6%","142610","57.5%","0.1pp"
"Cleaving Skyrider","W","U","93519","3.62","20470","4.50","88148","81.5%","57.0%","15267","55.3%","21350","57.0%","36617","56.3%","51245","57.5%","-1.2pp"
"Clockwork Drawbridge","W","C","433582","7.30","51519","10.53","96355","34.9%","57.7%","17109","56.5%","25676","58.7%","42785","57.9%","48650","57.1%","0.8pp"
"Coalition Skyknight","W","U","128848","5.32","13482","7.81","34498","49.4%","54.6%","5805","51.5%","8351","53.2%","14156","52.5%","20253","56.2%","-3.7pp"
"Coalition Warbrute","R","C","421126","6.64","49625","9.72","131013","50.1%","56.2%","21813","55.8%","31745","54.9%","53558","55.3%","77039","56.9%","-1.7pp"
"Colossal Growth","G","C","439387","7.31","57049","10.36","128941","43.0%","56.4%","21242","55.2%","29965","58.1%","51207","56.9%","76904","56.1%","0.8pp"
"Combat Research","U","U","143540","6.26","14697","9.56","20766","27.2%","51.9%","3420","52.2%","5737","50.7%","9157","51.2%","11455","52.3%","-1.1pp"
"Contaminated Aquifer","","C","344966","4.63","78711","6.28","382491","90.4%","56.2%","69306","57.7%","103062","56.2%","172368","56.8%","200553","55.5%","1.3pp"
"Coral Colony","U","U","135584","5.70","26245","7.51","81668","57.8%","56.1%","14547","56.3%","23522","58.5%","38069","57.7%","37270","53.5%","4.2pp"
"Crystal Grotto","","C","421681","6.10","61820","8.81","268417","80.5%","56.5%","49133","55.9%","70469","57.5%","119602","56.8%","144508","56.2%","0.6pp"
"Cult Conscript","B","U","98825","3.74","23449","4.66","105169","84.2%","56.3%","18675","61.3%","27505","55.8%","46180","58.0%","58511","54.9%","3.1pp"
"Cut Down","B","U","66491","2.58","21819","3.02","105999","90.6%","56.2%","18554","56.9%","28812","58.6%","47366","58.0%","54574","54.3%","3.7pp"
"Danitha, Benalia's Hope","W","R","10926","1.32","8430","1.30","43217","94.8%","57.7%","7332","58.4%","11655","60.7%","18987","59.8%","23669","55.9%","3.9pp"
"Deathbloom Gardener","G","C","375808","5.45","45257","8.08","177284","74.9%","54.6%","31681","54.1%","43953","54.6%","75634","54.4%","100245","54.9%","-0.5pp"
"Defiler of Dreams","U","R","14311","1.73","8325","1.69","38220","86.4%","55.3%","6408","53.9%","11441","58.0%","17849","56.6%","19627","54.2%","2.4pp"
"Defiler of Faith","W","R","13081","1.55","7233","1.52","32156","85.6%","56.1%","5375","57.3%","8097","57.1%","13472","57.2%","18493","55.4%","1.8pp"
"Defiler of Flesh","B","R","14096","1.72","7356","1.70","32163","84.3%","54.8%","5453","55.9%","8936","57.2%","14389","56.7%","17407","53.1%","3.6pp"
"Defiler of Instinct","R","R","13910","1.65","7795","1.60","35182","84.8%","57.0%","6078","59.6%","8804","58.1%","14882","58.7%","20042","55.8%","2.9pp"
"Defiler of Vigor","G","R","11492","1.37","8253","1.34","38729","87.2%","56.9%","6480","59.5%","10351","61.4%","16831","60.7%","21002","53.4%","7.3pp"
"Destroy Evil","W","C","319273","4.49","64378","5.74","290042","83.3%","58.2%","48801","57.9%","77015","60.4%","125816","59.4%","161965","57.2%","2.2pp"
"Djinn of the Fountain","U","U","117862","4.79","17813","6.60","57535","62.4%","53.1%","9619","50.4%","17185","54.3%","26804","52.9%","29954","53.3%","-0.4pp"
"Drag to the Bottom","B","R","15721","1.90","9036","1.86","41772","84.9%","57.6%","7222","60.9%","12016","63.5%","19238","62.5%","21688","52.9%","9.6pp"
"Dragon Whelp","R","U","110179","4.34","18515","5.73","70679","73.3%","55.1%","11909","53.1%","17486","54.6%","29395","54.0%","40977","55.8%","-1.8pp"
