"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Abuelo's Awakening","W","R","34022","4.63","5217","6.54","8313","26.2%","51.5%","1250","46.4%","1994","52.4%","3244","50.1%","5034","52.3%","-2.3pp"
"Acrobatic Leap","W","C","394650","8.54","53139","11.83","54209","16.7%","55.5%","8145","54.4%","12272","56.0%","20417","55.4%","33692","55.5%","-0.2pp"
"Adaptive Gemguard","W","C","324537","5.61","49364","7.99","188257","62.7%","54.6%","30431","53.3%","45891","54.1%","76322","53.8%","110903","55.0%","-1.2pp"
"Attentive Sunscribe","W","C","332412","5.65","56797","7.80","254474","72.9%","55.6%","45612","55.7%","55577","53.5%","101189","54.5%","152175","56.3%","-1.8pp"
"Bat Colony","W","U","135266","6.60","19536","9.16","31723","27.3%","50.9%","5291","51.3%","7893","56.0%","13184","54.1%","18074","48.0%","6.1pp"
"Clay-Fired Bricks","W","U","84054","2.98","32562","3.37","175283","85.7%","57.6%","31602","59.0%","43300","61.0%","74902","60.2%","98639","55.5%","4.6pp"
"Cosmium Blast","W","C","315356","5.43","41832","7.91","146145","57.8%","53.7%","24543","52.9%","35781","54.3%","60324","53.7%","85294","53.7%","0.0pp"
"Dauntless Dismantler","W","U","130929","5.86","19672","8.27","57710","48.4%","54.3%","10061","53.8%","13127","54.2%","23188","54.0%","34381","54.4%","-0.4pp"
"Deconstruction Hammer","W","C","364061","6.79","62023","9.18","202704","53.1%","56.1%","33418","56.0%","46359","54.9%","79777","55.4%","121616","56.5%","-1.1pp"
"Dusk Rose Reliquary","W","U","76614","3.25","24149","3.88","126510","84.9%","56.5%","20677","56.0%","31412","59.2%","52089","57.9%","73307","55.3%","2.6pp"
"Envoy of Okinec Ahau","W","C","358845","6.65","43403","9.76","104350","39.5%","53.6%","17594","52.2%","24513","53.3%","42107","52.8%","62052","54.2%","-1.4pp"
"Fabrication Foundry","W","R","37496","5.09","5150","7.52","2630","12.3%","50.8%","429","","603","49.3%","1032","48.1%","1569","52.7%","-4.6pp"
"Family Reunion","W","C","390393","8.45","41972","12.25","21018","8.3%","52.6%","3135","51.3%","4749","51.8%","7884","51.6%","13113","53.2%","-1.6pp"
"Get Lost","W","R","19512","2.71","4257","3.14","16594","66.0%","52.2%","2777","49.2%","3976","52.2%","6753","51.0%","9790","53.0%","-2.1pp"
"Glorifier of Suffering","W","C","334770","5.90","47996","8.37","164747","57.2%","53.3%","26983","50.9%","39112","52.8%","66095","52.0%","98335","54.2%","-2.2pp"
"Guardian of the Great Door","W","U","76342","3.26","22567","3.91","120523","87.3%","55.8%","19584","55.7%","29950","57.4%","49534","56.7%","70955","55.2%","1.5pp"
"Helping Hand","W","U","134519","6.29","17567","9.14","35639","33.4%","53.9%","5532","51.8%","8366","53.0%","13898","52.5%","21636","54.7%","-2.2pp"
"Ironpaw Aspirant","W","C","311711","5.22","63778","6.91","316388","80.6%","56.1%","56385","55.5%","71912","55.4%","128297","55.4%","187417","56.6%","-1.1pp"
"Kinjalli's Dawnrunner","W","U","83113","3.50","22014","4.31","114750","84.3%","56.2%","20081","56.5%","27300","56.8%","47381","56.7%","67140","55.8%","0.9pp"
"Kutzil's Flanker","W","R","16593","2.27","6081","2.40","29738","82.3%","54.5%","5115","53.1%","7194","55.1%","12309","54.2%","17338","54.6%","-0.4pp"
"Malamet War Scribe","W","U","104161","4.50","19890","5.91","83430","69.0%","54.7%","12628","53.6%","19611","55.2%","32239","54.6%","50996","54.7%","-0.1pp"
"Market Gnome","W","U","105290","4.43","20609","5.77","89253","70.8%","55.6%","15737","57.3%","21128","56.1%","36865","56.6%","51713","54.9%","1.8pp"
"Might of the Ancestors","W","U","129666","6.22","16024","9.14","34365","35.3%","54.1%","5550","52.1%","8114","54.6%","13664","53.6%","20638","54.3%","-0.7pp"
"Miner's Guidewing","W","C","259342","4.32","70380","5.24","373442","84.6%","57.6%","66982","61.7%","84238","57.2%","151220","59.2%","221385","56.5%","2.7pp"
"Mischievous Pup","W","U","111922","4.75","20590","6.35","85238","68.7%","54.0%","14235","50.9%","20406","54.2%","34641","52.8%","50328","54.8%","-2.0pp"
"Ojer Taq, Deepest Foundation","W","M","5301","1.53","3056","1.51","14395","78.9%","53.9%","2390","54.2%","3592","57.3%","5982","56.1%","8400","52.4%","3.7pp"
"Oltec Archaeologists","W","C","378758","7.45","48322","10.67","81223","27.5%","54.4%","12505","52.3%","20286","56.6%","32791","55.0%","48099","54.0%","1.0pp"
"Oltec Cloud Guard","W","C","211013","3.42","71636","4.07","396967","88.6%","57.4%","66390","58.4%","98013","59.9%","164403","59.3%","231115","56.0%","3.2pp"
"Oteclan Landmark","W","C","356089","7.02","49423","9.92","111586","37.0%","54.2%","19789","51.8%","25621","54.6%","45410","53.3%","65468","54.7%","-1.3pp"
"Petrify","W","C","217029","3.47","59994","4.38","325454","87.7%","56.7%","54842","56.1%","79945","59.1%","134787","57.9%","189351","55.9%","2.0pp"
"Quicksand Whirlpool","W","C","309269","5.17","47993","7.34","201867","68.6%","55.4%","32450","54.1%","50397","57.4%","82847","56.1%","118068","54.8%","1.3pp"
"Resplendent Angel","W","M","4931","1.39","3666","1.35","20166","87.7%","57.7%","3560","60.8%","5149","62.3%","8709","61.7%","11446","54.6%","7.1pp"
"Ruin-Lurker Bat","W","U","71657","3.08","27925","3.44","152255","87.0%","57.7%","27384","63.9%","35256","58.1%","62640","60.6%","89266","55.7%","5.0pp"
"Sanguine Evangelist","W","R","11308","1.63","8003","1.61","46041","89.7%","59.5%","8253","67.0%","11095","64.4%","19348","65.5%","26496","55.1%","10.4pp"
"Soaring Sandwing","W","C","344292","5.97","48313","8.69","158092","53.8%","54.5%","26389","52.3%","38395","56.0%","64784","54.5%","92639","54.3%","0.2pp"
"Spring-Loaded Sawblades","W","U","74065","2.60","29336","2.97","160560","88.2%","57.2%","27943","59.4%","39613","60.3%","67556","59.9%","91497","54.9%","5.0pp"
