"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Aegar, the Freezing Flame","UR","U","150113","6.83","21554","9.54","44440","34.1%","54.4%","7485","54.2%","11292","53.1%","18777","53.5%","25671","55.0%","-1.5pp"
"Aerial Boost","W","C","365005","6.70","61484","8.76","225493","59.6%","57.2%","34987","57.2%","49407","57.7%","84394","57.5%","141032","56.9%","0.6pp"
"Aetherblade Agent","B","C","286752","3.90","60877","5.30","322691","88.5%","54.2%","57641","54.1%","82207","54.9%","139848","54.5%","181767","53.8%","0.7pp"
"Akki Scrapchomper","R","C","398131","8.90","47605","12.30","51354","17.9%","53.6%","8933","54.1%","11747","52.1%","20680","52.9%","30641","54.0%","-1.1pp"
"Alabaster Host Intercessor","W","C","275166","4.30","46691","5.92","214626","76.3%","54.3%","35716","53.1%","49968","55.8%","85684","54.7%","128805","54.0%","0.7pp"
"Alabaster Host Sanctifier","W","C","326395","5.41","42894","7.71","177979","69.0%","54.0%","31716","55.1%","38713","51.6%","70429","53.1%","107088","54.4%","-1.3pp"
"Anafenza, Kin-Tree Spirit","W","R","14368","2.32","4636","2.62","24106","85.7%","55.2%","4251","58.8%","5175","51.7%","9426","54.9%","14618","55.2%","-0.2pp"
"Ancient Imperiosaur","G","R","14655","1.59","9130","1.55","48276","86.6%","56.0%","7876","58.8%","12043","61.0%","19919","60.1%","28304","53.0%","7.2pp"
"Angelic Intervention","W","C","325867","5.41","54058","7.32","243282","73.8%","56.1%","38281","56.1%","53580","56.6%","91861","56.4%","151292","55.9%","0.5pp"
"Arachnoid Adaptation","G","C","390801","8.01","52429","11.10","108015","34.1%","55.0%","16499","54.6%","24669","56.1%","41168","55.5%","66856","54.7%","0.8pp"
"Archangel Elspeth","W","M","5500","1.20","4385","1.18","23284","86.7%","56.7%","3972","60.9%","5424","62.5%","9396","61.8%","13879","53.2%","8.6pp"
"Archpriest of Shadows","B","R","13298","1.47","9651","1.45","52573","90.0%","54.8%","8790","56.3%","13784","59.7%","22574","58.4%","30097","52.0%","6.4pp"
"Arixmethes, Slumbering Isle","UG","R","26471","4.14","4450","5.62","11271","43.1%","49.2%","1798","50.4%","2903","48.4%","4701","49.2%","6523","49.1%","0.1pp"
"Artistic Refusal","U","U","151713","4.47","47865","5.22","242240","81.4%","57.5%","37424","57.6%","65335","60.8%","102759","59.6%","140769","56.1%","3.5pp"
"Assimilate Essence","U","C","351216","6.29","70917","8.29","276457","63.4%","56.6%","47293","57.9%","70593","57.8%","117886","57.9%","158671","55.7%","2.2pp"
"Astral Wingspan","U","U","185339","5.47","34370","7.47","110774","53.1%","55.3%","16647","53.9%","27298","57.8%","43945","56.3%","66800","54.7%","1.6pp"
"Atraxa's Fall","G","C","383126","7.78","36129","11.69","39168","18.2%","51.0%","6188","49.3%","8981","51.8%","15169","50.8%","24017","51.1%","-0.3pp"
"Atraxa, Praetors' Voice","WUBG","M","7424","2.51","2599","2.73","10822","68.9%","54.0%","1749","57.2%","2858","61.8%","4607","60.1%","6236","49.6%","10.5pp"
"Atris, Oracle of Half-Truths","UB","R","18610","2.94","7948","3.20","40231","82.1%","57.0%","6700","58.9%","11075","61.2%","17775","60.4%","22500","54.3%","6.1pp"
