"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Adaptive Sporesinger","G","C","325119","6.25","37152","9.37","93796","42.1%","52.1%","15591","49.3%","20200","51.6%","35791","50.6%","57925","53.1%","-2.5pp"
"Against All Odds","W","U","110112","5.48","16660","7.81","48329","47.9%","54.1%","7285","51.8%","10441","54.1%","17726","53.1%","30581","54.6%","-1.5pp"
"All Will Be One","R","M","8064","2.63","2751","2.74","9217","57.3%","51.6%","1459","49.3%","2142","50.9%","3601","50.3%","5585","52.3%","-2.0pp"
"Ambulatory Edifice","B","U","81552","3.92","19105","4.92","87240","75.3%","54.9%","15188","57.3%","19877","56.5%","35065","56.8%","51865","53.5%","3.4pp"
"Annex Sentry","W","U","37437","1.94","21144","2.07","121151","90.9%","58.1%","21665","62.9%","25867","62.5%","47532","62.7%","73399","55.1%","7.6pp"
"Annihilating Glare","B","C","253560","4.53","38519","6.25","167597","73.3%","53.0%","26355","51.1%","39089","54.8%","65444","53.3%","101719","52.8%","0.5pp"
"Anoint with Affliction","B","C","156197","2.84","47986","3.38","248911","85.3%","54.9%","43658","56.7%","57957","58.2%","101615","57.6%","146518","53.0%","4.6pp"
"Apostle of Invasion","W","U","95322","4.83","11258","7.27","30278","45.1%","52.1%","4247","50.0%","6759","52.7%","11006","51.6%","19241","52.4%","-0.7pp"
"Archfiend of the Dross","B","R","10951","1.70","6466","1.63","32265","80.4%","56.4%","5457","62.6%","7794","64.5%","13251","63.7%","18819","51.1%","12.6pp"
"Argentum Masticore","","R","8658","1.33","7168","1.31","41845","96.7%","54.7%","6791","54.6%","9477","55.9%","16268","55.4%","25448","54.2%","1.2pp"
"Armored Scrapgorger","G","U","49641","2.47","22073","2.75","121572","88.8%","56.8%","22378","63.1%","26141","55.1%","48519","58.8%","72947","55.4%","3.4pp"
"Aspirant's Ascent","U","C","356818","8.27","38441","11.98","28161","12.3%","49.6%","4398","46.7%","6808","50.5%","11206","49.0%","16916","50.0%","-1.0pp"
"Atmosphere Surgeon","U","U","104097","5.37","16052","7.29","49851","53.0%","51.1%","8632","50.6%","11772","50.6%","20404","50.6%","29296","51.5%","-0.9pp"
"Atraxa's Skitterfang","","U","44064","2.19","22866","2.43","138059","98.3%","55.9%","24220","55.2%","30519","58.7%","54739","57.2%","83050","55.1%","2.0pp"
"Atraxa, Grand Unifier","WUBG","M","7557","2.34","2500","2.38","7265","48.8%","52.3%","1159","58.3%","1885","65.0%","3044","62.5%","4170","44.6%","17.9pp"
"Awaken the Sleeper","R","U","129420","7.32","15996","10.75","10429","10.7%","51.6%","1537","48.3%","2315","53.7%","3852","51.6%","6550","51.6%","0.0pp"
"Axiom Engraver","R","C","292173","5.52","74888","6.87","385298","82.1%","57.6%","70267","58.6%","82145","56.0%","152412","57.2%","232661","57.8%","-0.6pp"
"Barbed Batterfist","R","C","264775","4.86","78429","5.95","426495","86.2%","58.1%","77404","59.9%","89655","57.2%","167059","58.4%","259181","57.9%","0.6pp"
"Basilica Shepherd","W","C","227267","3.97","52428","5.14","267479","82.3%","56.5%","40805","57.4%","57823","58.8%","98628","58.2%","168583","55.6%","2.6pp"
"Basilica Skullbomb","","C","345512","6.79","47358","9.79","116240","40.5%","53.9%","19948","50.1%","24663","52.9%","44611","51.6%","71571","55.4%","-3.7pp"
"Bilious Skulldweller","B","U","56974","2.77","15867","3.31","82208","85.5%","54.9%","15143","61.5%","18369","54.6%","33512","57.7%","48461","52.9%","4.8pp"
