"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Round","W","R","81967","6.30","10089","9.62","1980","3.3%","47.2%","295","","473","","768","41.4%","1212","50.8%","-9.4pp"
"Archangel of Tithes","W","M","12678","2.11","4555","2.19","22210","81.8%","53.9%","3591","54.6%","5363","55.6%","8954","55.2%","13296","52.9%","2.2pp"
"Armored Armadillo","W","C","475512","7.88","50860","11.63","38574","12.6%","51.1%","6585","50.0%","9026","50.7%","15611","50.4%","22919","51.5%","-1.1pp"
"Aven Interrupter","W","R","30962","2.47","10882","2.71","56950","86.4%","55.6%","9808","56.5%","13522","57.6%","23330","57.2%","33589","54.5%","2.7pp"
"Bounding Felidar","W","U","122769","4.07","22497","5.49","108816","80.5%","54.6%","16435","53.6%","25318","55.4%","41753","54.7%","65717","54.4%","0.3pp"
"Bovine Intervention","W","U","172263","6.38","15736","10.10","22081","23.6%","50.6%","3417","46.3%","5354","50.7%","8771","49.0%","13280","51.6%","-2.6pp"
"Bridled Bighorn","W","C","415365","5.79","57290","8.47","226641","65.1%","55.0%","36934","53.7%","51912","54.1%","88846","54.0%","134970","55.5%","-1.5pp"
"Claim Jumper","W","R","35201","2.72","9123","3.20","46848","85.7%","54.1%","8299","53.6%","11004","54.8%","19303","54.3%","27545","54.0%","0.2pp"
"Dust Animus","W","R","17588","1.48","13240","1.48","78475","95.2%","56.9%","13934","60.0%","19683","61.8%","33617","61.1%","44910","53.8%","7.3pp"
"Eriette's Lullaby","W","C","411746","5.71","49828","8.66","159234","53.1%","53.2%","26988","51.0%","38674","54.5%","65662","53.1%","93344","53.3%","-0.2pp"
"Final Showdown","W","M","10097","1.74","6064","1.72","32320","86.6%","56.5%","5297","57.0%","8175","62.5%","13472","60.3%","18786","53.8%","6.6pp"
"Fortune, Loyal Steed","W","R","24687","2.03","11575","2.11","65122","92.1%","55.9%","11544","58.3%","15470","57.1%","27014","57.6%","37214","54.5%","3.1pp"
"Frontier Seeker","W","U","113396","3.75","29127","4.63","154331","85.8%","56.9%","27896","59.0%","34962","56.6%","62858","57.6%","91400","56.4%","1.2pp"
"Getaway Glamer","W","U","119457","3.97","32174","4.79","169962","85.4%","56.7%","28213","56.6%","41873","59.8%","70086","58.5%","99646","55.5%","3.0pp"
