"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"A Tale for the Ages","W","R","31095","3.58","5763","4.24","15790","46.2%","50.3%","2539","48.9%","3677","50.0%","6216","49.5%","9561","50.7%","-1.2pp"
"Agatha of the Vile Cauldron","RG","M","17971","3.90","2990","5.29","4355","24.1%","51.1%","727","49.5%","1051","48.3%","1778","48.8%","2573","52.7%","-3.9pp"
"Agatha's Champion","G","U","70499","2.61","30582","2.96","170973","90.7%","55.7%","27862","55.0%","43621","58.9%","71483","57.4%","98965","54.5%","2.9pp"
"Agatha's Soul Cauldron","","M","7064","1.62","3716","1.61","18824","84.7%","54.0%","3265","55.9%","4579","57.1%","7844","56.6%","10929","52.1%","4.5pp"
"Aggravated Assault","R","R","25629","5.77","2723","9.27","807","4.8%","48.0%","112","","159","","271","","535","49.9%",""
"Aquatic Alchemist","U","C","398601","6.85","57767","9.50","181579","52.3%","53.5%","31389","53.3%","52068","55.3%","83457","54.6%","97057","52.5%","2.1pp"
"Archive Dragon","U","U","111437","4.15","21890","5.44","95361","72.8%","53.1%","14750","52.9%","28111","58.6%","42861","56.6%","52003","50.2%","6.4pp"
"Archon of the Wild Rose","W","R","14246","1.64","8601","1.58","44953","86.0%","55.1%","7335","57.0%","11418","58.8%","18753","58.1%","26263","52.9%","5.3pp"
"Archon's Glory","W","C","403808","6.73","66321","9.24","220704","54.0%","56.0%","34771","55.6%","51288","57.6%","86059","56.8%","134464","55.5%","1.3pp"
"Armory Mice","W","C","402728","6.77","59162","9.41","188330","51.9%","55.2%","33484","55.6%","39587","51.9%","73071","53.6%","115271","56.2%","-2.6pp"
"As Foretold","U","R","24401","5.68","2607","9.01","1290","8.2%","46.8%","220","","368","","588","42.9%","698","50.1%","-7.3pp"
"Ash, Party Crasher","WR","U","117519","4.68","27872","5.48","116533","66.7%","57.8%","20510","61.3%","24921","55.8%","45431","58.3%","71279","57.5%","0.7pp"
"Ashiok's Reaper","B","U","133306","5.01","17468","7.10","47574","45.4%","51.7%","7588","48.8%","11313","52.1%","18901","50.8%","28556","52.3%","-1.6pp"
"Ashiok, Wicked Manipulator","B","M","5386","1.22","4570","1.21","25309","90.3%","56.4%","4291","59.2%","6551","62.0%","10842","60.9%","14380","53.1%","7.8pp"
"Asinine Antics","U","M","11755","2.68","3023","2.95","10437","60.3%","49.1%","1694","44.7%","2951","51.3%","4645","48.9%","5767","49.1%","-0.1pp"
"Back for Seconds","B","U","110894","3.93","23305","5.19","103965","73.6%","54.0%","16277","50.0%","25482","55.5%","41759","53.4%","61937","54.3%","-0.9pp"
"Barrow Naughty","B","C","329543","4.86","58230","6.73","271137","75.9%","55.3%","48405","56.3%","67261","57.0%","115666","56.7%","154595","54.3%","2.4pp"
"Beanstalk Wurm","G","C","359225","5.55","42946","8.41","150648","58.1%","53.1%","25627","52.1%","38127","53.9%","63754","53.2%","86792","53.0%","0.2pp"
"Belligerent of the Ball","R","U","113314","4.08","28539","5.15","145699","81.8%","56.8%","24988","57.4%","31414","55.1%","56402","56.1%","89310","57.3%","-1.2pp"
"Bellowing Bruiser","R","C","395738","6.44","52635","9.45","133443","40.8%","55.0%","20158","52.9%","29662","55.2%","49820","54.2%","83528","55.5%","-1.2pp"
"Beluna Grandsquall","URG","M","16782","3.72","3597","4.56","8316","38.9%","51.9%","1362","52.3%","2284","55.6%","3646","54.4%","4650","49.8%","4.6pp"
"Beluna's Gatekeeper","U","C","357820","5.57","55342","7.84","220324","66.4%","53.1%","37651","51.0%","64103","57.1%","101754","54.9%","117364","51.5%","3.4pp"
"Beseech the Mirror","B","M","14675","3.21","2594","4.04","3791","24.2%","50.1%","558","45.3%","902","49.9%","1460","48.2%","2316","51.4%","-3.3pp"
"Besotted Knight","W","C","366649","5.63","47941","8.26","177891","61.2%","53.7%","29227","53.6%","41811","54.2%","71038","53.9%","106775","53.6%","0.3pp"
"Bespoke Battlegarb","R","C","434346","8.47","53929","11.92","45042","13.5%","55.0%","7228","53.2%","9374","51.8%","16602","52.4%","27984","56.3%","-3.9pp"
"Bestial Bloodline","G","C","423998","7.95","43080","11.83","38791","14.8%","51.6%","6197","50.7%","9068","52.3%","15265","51.6%","23436","51.5%","0.1pp"
"Bitter Chill","U","U","106392","3.84","22872","4.96","111943","81.0%","54.2%","19542","53.1%","32800","58.9%","52342","56.8%","58830","51.8%","4.9pp"
"Bitterblossom","B","M","2877","1.34","2307","1.34","13535","94.6%","56.9%","2544","67.3%","3261","56.6%","5805","61.3%","7667","53.6%","7.7pp"
"Blind Obedience","W","R","16201","3.65","2786","4.76","9885","60.1%","51.2%","1744","48.9%","2320","51.0%","4064","50.1%","5808","52.1%","-2.0pp"
"Blood Moon","R","M","13652","5.90","1653","9.07","25","0.2%","","3","","4","","7","","18","",""
"Blossoming Tortoise","G","M","12529","2.69","3361","3.09","11703","57.6%","54.7%","1953","56.8%","2904","55.3%","4857","55.9%","6830","53.8%","2.1pp"
"Boundary Lands Ranger","R","U","143723","5.23","25994","7.21","100746","62.7%","55.7%","17772","56.4%","22166","54.0%","39938","55.1%","60753","56.1%","-1.1pp"
"Bramble Familiar","G","R","19879","2.18","7929","2.31","40743","85.1%","54.7%","7410","56.6%","9758","54.6%","17168","55.5%","23529","54.1%","1.3pp"
